_id,userId,likedPlaces,dislikedPlaces
ObjectId(5c0821e7bd04df0b9de57529),ObjectId(5c0821a892b6ff422c100255),,[]
ObjectId(5c08825cbd04df0b9d0e1cd9),ObjectId(583e0cb425bce0986328a422),"[{""_id"":{""$oid"":""5c08825e92b6ff422c100260""},""dateAdded"":{""$date"":""2018-12-06T01:58:54.109Z""},""placeId"":{""$oid"":""5a7c68fa14f4ba437b8730cc""}}]",[]
ObjectId(5c093014bd04df0b9d577cd4),ObjectId(5c092f2a92b6ff422c10026f),"[{""_id"":{""$oid"":""5c09301492b6ff422c100272""},""dateAdded"":{""$date"":""2018-12-06T14:20:04.342Z""},""placeId"":{""$oid"":""5a7c637914f4ba437b872832""}}]",
ObjectId(5c0ab4a0bd04df0b9df2dba2),ObjectId(5a64d7cdfb971d1661e4b204),,"[{""_id"":{""$oid"":""5c0ab4a092b6ff422c10028d""},""dateAdded"":{""$date"":""2018-12-07T17:57:52.468Z""},""placeId"":{""$oid"":""5a7c687914f4ba437b872ffe""}}]"
ObjectId(5c0af16bbd04df0b9d0a9569),ObjectId(5b7a5693b189b13ca8713ea7),"[{""_id"":{""$oid"":""5c0af16b92b6ff422c100291""},""dateAdded"":{""$date"":""2018-12-07T22:17:15.730Z""},""placeId"":{""$oid"":""5a7c6a2714f4ba437b8732b3""}}]","[{""_id"":{""$oid"":""5c0af1a992b6ff422c100292""},""dateAdded"":{""$date"":""2018-12-07T22:18:17.222Z""},""placeId"":{""$oid"":""5a93f81e35427db22cf37c30""}}]"
ObjectId(5c0b8cf4bd04df0b9d45ce62),ObjectId(5c0797ed6af8ef79fcd17c6f),"[{""_id"":{""$oid"":""5c0b8cf492b6ff422c1002a7""},""dateAdded"":{""$date"":""2018-12-08T09:20:52.907Z""},""placeId"":{""$oid"":""5a7c5aaa14f4ba437b8716ce""}},{""_id"":{""$oid"":""5c0c285692b6ff422c1002be""},""dateAdded"":{""$date"":""2018-12-08T20:23:50.942Z""},""placeId"":{""$oid"":""5a7c5b8714f4ba437b871820""}}]",
ObjectId(5c0bf27ebd04df0b9d6d1b76),ObjectId(5a19dcc41f3f5f6a8e42f7c4),"[{""_id"":{""$oid"":""5c0bf27e92b6ff422c1002ab""},""dateAdded"":{""$date"":""2018-12-08T16:34:06.013Z""},""placeId"":{""$oid"":""5a7c653414f4ba437b872ae0""}},{""_id"":{""$oid"":""5c0bf2e492b6ff422c1002ad""},""dateAdded"":{""$date"":""2018-12-08T16:35:48.715Z""},""placeId"":{""$oid"":""5a7c64b814f4ba437b872a1c""}},{""_id"":{""$oid"":""5c0fcb21adbaa3202c39cedc""},""dateAdded"":{""$date"":""2018-12-11T14:35:13.927Z""},""placeId"":{""$oid"":""5a7c685d14f4ba437b872fd2""}}]",
ObjectId(5c0d45c8bd04df0b9deb37dd),ObjectId(5c0d453292b6ff422c1002e9),"[{""_id"":{""$oid"":""5c0d45c892b6ff422c1002ec""},""dateAdded"":{""$date"":""2018-12-09T16:41:44.928Z""},""placeId"":{""$oid"":""5a7c693514f4ba437b873125""}},{""_id"":{""$oid"":""5c0d466a92b6ff422c1002ee""},""dateAdded"":{""$date"":""2018-12-09T16:44:26.961Z""},""placeId"":{""$oid"":""5a7c698414f4ba437b8731ab""}}]","[{""_id"":{""$oid"":""5c0d460a92b6ff422c1002ed""},""dateAdded"":{""$date"":""2018-12-09T16:42:50.182Z""},""placeId"":{""$oid"":""5a7c65f914f4ba437b872c1e""}},{""_id"":{""$oid"":""5c0d46d692b6ff422c1002ef""},""dateAdded"":{""$date"":""2018-12-09T16:46:14.671Z""},""placeId"":{""$oid"":""5a7c67b914f4ba437b872ee1""}}]"
ObjectId(5c0ee54cbd04df0b9d8c51fb),ObjectId(5bd5dbad60da992c5d62eb10),"[{""_id"":{""$oid"":""5c0ffd27adbaa3202c39cef6""},""dateAdded"":{""$date"":""2018-12-11T18:08:39.799Z""},""placeId"":{""$oid"":""5bfac462bd04df0b9d4e30e6""}}]","[{""_id"":{""$oid"":""5c0ffbc5adbaa3202c39ceef""},""dateAdded"":{""$date"":""2018-12-11T18:02:45.051Z""},""placeId"":{""$oid"":""5a7c693514f4ba437b873125""}}]"
ObjectId(5c117863bd04df0b9d9ca079),ObjectId(5c117799adbaa3202c39cf44),"[{""_id"":{""$oid"":""5c117863adbaa3202c39cf47""},""dateAdded"":{""$date"":""2018-12-12T21:06:43.137Z""},""placeId"":{""$oid"":""5b4cb981d64813ebac8dd7a9""}},{""_id"":{""$oid"":""5c1178a3adbaa3202c39cf48""},""dateAdded"":{""$date"":""2018-12-12T21:07:47.198Z""},""placeId"":{""$oid"":""5a7c64cd14f4ba437b872a3e""}},{""_id"":{""$oid"":""5c1178e7adbaa3202c39cf49""},""dateAdded"":{""$date"":""2018-12-12T21:08:55.814Z""},""placeId"":{""$oid"":""5b4cb96bd64813ebac8dd094""}},{""_id"":{""$oid"":""5c1178ffadbaa3202c39cf4a""},""dateAdded"":{""$date"":""2018-12-12T21:09:19.265Z""},""placeId"":{""$oid"":""5a7c67dd14f4ba437b872f15""}}]",
